iso_country_code,country,world_region,survey_source ,survey_year,subnational_region,mpi_country,mpi_region,hr_poor,deprivation_intensity,poverty_vulnerability,hr_severe_poverty,population_country_survey_year,population_country_2020,population _country_2021,Population 2021,population _region_2021,population_mpi_poor,n_indicators,missing_indicators
AFG,Afghanistan,South Asia,DHS,2015-2016,Badakhshan,0.272,0.326,66.36,49.19,18.77,31.6,"34,636","38,972","40,099",3.28,"1,317",874,9,Nutrition
AFG,Afghanistan,South Asia,DHS,2015-2016,Badghis,0.272,0.426,79,53.96,15.47,47.72,"34,636","38,972","40,099",2.14,858,678,9,Nutrition
AFG,Afghanistan,South Asia,DHS,2015-2016,Baghlan,0.272,0.299,61.16,48.9,21.96,25.27,"34,636","38,972","40,099",2.84,"1,139",697,9,Nutrition
AFG,Afghanistan,South Asia,DHS,2015-2016,Balkh,0.272,0.229,46.44,49.22,19.31,21.57,"34,636","38,972","40,099",6.22,"2,493","1,158",9,Nutrition
AFG,Afghanistan,South Asia,DHS,2015-2016,Bamyan,0.272,0.256,54.75,46.68,27.06,19.49,"34,636","38,972","40,099",1.19,476,261,9,Nutrition
AFG,Afghanistan,South Asia,DHS,2015-2016,Daykundi,0.272,0.281,62.32,45.04,30.29,18.52,"34,636","38,972","40,099",1.22,491,306,9,Nutrition
AFG,Afghanistan,South Asia,DHS,2015-2016,Farah,0.272,0.336,71.03,47.27,10.59,35.09,"34,636","38,972","40,099",2.17,872,619,9,Nutrition
AFG,Afghanistan,South Asia,DHS,2015-2016,Faryab,0.272,0.194,44.59,43.58,14.71,16.95,"34,636","38,972","40,099",7.07,"2,834","1,264",9,Nutrition
AFG,Afghanistan,South Asia,DHS,2015-2016,Ghazni,0.272,0.241,50.75,47.5,23.44,22.44,"34,636","38,972","40,099",3.66,"1,468",745,9,Nutrition
AFG,Afghanistan,South Asia,DHS,2015-2016,Ghor,0.272,0.273,60.95,44.81,27.73,17.76,"34,636","38,972","40,099",2.45,984,600,9,Nutrition
AFG,Afghanistan,South Asia,DHS,2015-2016,Helmand,0.272,0.324,70.27,46.11,13.94,25.81,"34,636","38,972","40,099",3.14,"1,260",885,9,Nutrition
AFG,Afghanistan,South Asia,DHS,2015-2016,Herat,0.272,0.309,60.66,50.9,14.34,34.51,"34,636","38,972","40,099",6.79,"2,722","1,651",9,Nutrition
AFG,Afghanistan,South Asia,DHS,2015-2016,Jawzjan,0.272,0.255,55.54,45.92,17.83,14.31,"34,636","38,972","40,099",2.42,969,538,9,Nutrition
AFG,Afghanistan,South Asia,DHS,2015-2016,Kabul,0.272,0.079,18.08,43.46,22.03,4.89,"34,636","38,972","40,099",12.09,"4,848",876,9,Nutrition
AFG,Afghanistan,South Asia,DHS,2015-2016,Kandahar,0.272,0.428,72.41,59.1,13.18,48.38,"34,636","38,972","40,099",8.21,"3,293","2,384",9,Nutrition
AFG,Afghanistan,South Asia,DHS,2015-2016,Kapisa,0.272,0.2,43.66,45.89,38.8,13.72,"34,636","38,972","40,099",0.73,293,128,9,Nutrition
AFG,Afghanistan,South Asia,DHS,2015-2016,Khost,0.272,0.295,66.13,44.62,12.41,28.77,"34,636","38,972","40,099",2.85,"1,141",755,9,Nutrition
AFG,Afghanistan,South Asia,DHS,2015-2016,Kunarha,0.272,0.308,67.46,45.69,20.42,21.05,"34,636","38,972","40,099",2.33,934,630,9,Nutrition
AFG,Afghanistan,South Asia,DHS,2015-2016,Kunduz,0.272,0.307,65.82,46.62,15.66,27.36,"34,636","38,972","40,099",4.37,"1,754","1,154",9,Nutrition
AFG,Afghanistan,South Asia,DHS,2015-2016,Laghman,0.272,0.357,73.58,48.54,16.42,30.67,"34,636","38,972","40,099",2.13,856,630,9,Nutrition
AFG,Afghanistan,South Asia,DHS,2015-2016,Logar,0.272,0.216,47.72,45.31,17.14,17.51,"34,636","38,972","40,099",1.74,698,333,9,Nutrition
AFG,Afghanistan,South Asia,DHS,2015-2016,Nangarhar,0.272,0.266,54.13,49.21,22.04,23.02,"34,636","38,972","40,099",3.03,"1,213",657,9,Nutrition
AFG,Afghanistan,South Asia,DHS,2015-2016,Nimroz,0.272,0.242,53.48,45.19,26.53,19.1,"34,636","38,972","40,099",0.91,365,195,9,Nutrition
AFG,Afghanistan,South Asia,DHS,2015-2016,Nooristan,0.272,0.555,91.03,61,8.14,62.27,"34,636","38,972","40,099",0.65,261,238,9,Nutrition
AFG,Afghanistan,South Asia,DHS,2015-2016,Paktika,0.272,0.225,55.73,40.33,18.18,13.21,"34,636","38,972","40,099",2.49,998,556,9,Nutrition
AFG,Afghanistan,South Asia,DHS,2015-2016,Paktya,0.272,0.261,59.74,43.73,20.17,18.98,"34,636","38,972","40,099",1.85,740,442,9,Nutrition
AFG,Afghanistan,South Asia,DHS,2015-2016,Panjsher,0.272,0.129,31.22,41.28,27.29,6.34,"34,636","38,972","40,099",0.22,87,27,9,Nutrition
AFG,Afghanistan,South Asia,DHS,2015-2016,Parwan,0.272,0.272,60.92,44.65,15.03,20.36,"34,636","38,972","40,099",2.34,937,571,9,Nutrition
AFG,Afghanistan,South Asia,DHS,2015-2016,Samangan,0.272,0.335,67.56,49.62,21.38,32.43,"34,636","38,972","40,099",1.15,463,312,9,Nutrition
